refYear,reporterCode,reporterISO,reporterDesc,classificationCode,cmdCode,cmdDesc,qtyUnitCode,qtyUnitAbbr,qty,altQtyUnitCode,altQtyUnitAbbr,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag
2019,192,CUB,Cuba,H5,2709,Crude petroleum oil,8,kg,2519180500.0,21,1000 KG,2519180.5,2519180500.0,0.0,1073169762.32,0.0,1073169762.32,0
2019,203,CZE,Czechia,H5,2709,Crude petroleum oil,-1,kg,0.0,-1,kg,0.0,6832030.25,0.0,3740778312.0,3543411043.0,3740778312.0,6
2019,204,BEN,Benin,H5,2709,Crude petroleum oil,8,kg,31560.0,8,kg,31560.0,31560.0,0.0,10525.237,0.0,10525.237,0
2019,208,DNK,Denmark,H5,2709,Crude petroleum oil,8,kg,4828319554.0,8,kg,4828319554.0,4828319554.0,0.0,2392208104.736,0.0,2392208104.736,0
2019,212,DMA,Dominica,H3,2709,Crude petroleum oil,8,kg,27.0,8,kg,27.0,27.0,0.0,777.771,0.0,777.771,0
2019,214,DOM,Dominican Rep.,H5,2709,Crude petroleum oil,8,kg,1174571989.0,19,BBL,8910366.37,1174571989.0,0.0,599444154.438,585516594.375,599444154.438,0
2019,218,ECU,Ecuador,H5,2709,Crude petroleum oil,8,kg,1909949.62,-1,kg,0.0,0.0,0.0,1017843.67,1016118.004,1017843.67,6
2019,222,SLV,El Salvador,H5,2709,Crude petroleum oil,8,kg,8445.28,8,kg,8445.28,8445.28,0.0,12484.42,0.0,12484.42,0
2019,231,ETH,Ethiopia,H5,2709,Crude petroleum oil,8,kg,16299.0,8,kg,16299.0,16299.0,0.0,30084.46,0.0,30084.46,0
2019,233,EST,Estonia,H5,2709,Crude petroleum oil,8,kg,1128332.2,8,kg,1128332.2,1128332.2,0.0,203035.039,0.0,203035.039,0
2019,242,FJI,Fiji,H5,2709,Crude petroleum oil,8,kg,629518.43,8,kg,629518.43,629518.43,0.0,1565503.885,0.0,1565503.885,0
2019,246,FIN,Finland,H5,2709,Crude petroleum oil,-1,kg,0.0,-1,kg,0.0,6832030.25,0.0,5802467549.912,0.0,5802467549.912,6
2019,251,FRA,France,H5,2709,Crude petroleum oil,-1,kg,0.0,-1,kg,0.0,6832030.25,0.0,24530918329.6,0.0,24530918329.6,6
2019,258,PYF,French Polynesia,H5,2709,Crude petroleum oil,8,kg,374.051,8,kg,374.051,374.051,0.0,2836.071,0.0,2836.071,0
2019,266,GAB,Gabon,H3,2709,Crude petroleum oil,8,kg,157.0,19,BBL,157.0,157.0,0.0,3378.64,0.0,3378.64,0
2019,268,GEO,Georgia,H5,2709,Crude petroleum oil,8,kg,9085130.0,8,kg,9085130.0,9085130.0,0.0,5663390.13,0.0,5663390.13,0
2019,275,PSE,State of Palestine,H4,2709,Crude petroleum oil,8,kg,1092012.542,-1,kg,0.0,1092012.542,0.0,526210.52,0.0,526210.52,6
2019,276,DEU,Germany,H5,2709,Crude petroleum oil,8,kg,85869227301.112,-1,kg,0.0,85869227301.112,0.0,40745587766.277,0.0,40745587766.277,6
2019,288,GHA,Ghana,H5,2709,Crude petroleum oil,8,kg,3160.0,8,kg,3160.0,3160.0,0.0,40582.481,0.0,40582.481,0
2019,300,GRC,Greece,H5,2709,Crude petroleum oil,8,kg,23005247692.454,-1,kg,0.0,6832030.25,0.0,10479290106.384,0.0,10479290106.384,6
2019,308,GRD,Grenada,H4,2709,Crude petroleum oil,8,kg,221.0,8,kg,221.0,221.0,0.0,508.519,0.0,508.519,0
2019,320,GTM,Guatemala,H5,2709,Crude petroleum oil,8,kg,63182.396,-1,kg,0.0,63182.396,0.0,236079.0,0.0,236079.0,6
2019,328,GUY,Guyana,H5,2709,Crude petroleum oil,8,kg,5003.96,7,l,175451.54,5003.96,0.0,16644.176,0.0,16644.176,0
2019,348,HUN,Hungary,H5,2709,Crude petroleum oil,8,kg,6207174385.0,8,kg,6207174385.0,6207174385.0,0.0,2880184060.0,0.0,2880184060.0,0
2019,352,ISL,Iceland,H5,2709,Crude petroleum oil,8,kg,648.284,-1,kg,0.0,6832030.25,0.0,5531.985,4764.371,5531.985,6
2019,360,IDN,Indonesia,H5,2709,Crude petroleum oil,-1,kg,0.0,-1,kg,0.0,0.0,0.0,5704588947.0,0.0,5704588947.0,0
2019,372,IRL,Ireland,H5,2709,Crude petroleum oil,8,kg,2649047600.881,-1,kg,0.0,2649047600.881,0.0,1326025641.341,0.0,1326025641.341,6
2019,376,ISR,Israel,H5,2709,Crude petroleum oil,8,kg,12412666308.762,-1,kg,0.0,12412666308.762,0.0,5940718000.0,0.0,5940718000.0,6
2019,380,ITA,Italy,H5,2709,Crude petroleum oil,8,kg,61789109614.0,8,kg,61789109614.0,61789109614.0,0.0,29102359197.349,0.0,29102359197.349,0
2019,384,CIV,Côte d'Ivoire,H5,2709,Crude petroleum oil,8,kg,2824197065.0,8,kg,2824197065.0,2824197065.0,0.0,1485569546.89,0.0,1485569546.89,0
2019,388,JAM,Jamaica,H5,2709,Crude petroleum oil,8,kg,1111570689.638,-1,kg,0.0,1111570689.638,0.0,635853477.93,0.0,635853477.93,6
2019,392,JPN,Japan,H5,2709,Crude petroleum oil,8,kg,146588112700.0,8,kg,146588112700.0,146588112700.0,0.0,73086768742.827,0.0,73086768742.827,0
2019,398,KAZ,Kazakhstan,H5,2709,Crude petroleum oil,8,kg,36153658.84,8,kg,36153658.84,36153658.84,0.0,11137952.21,0.0,11137952.21,0
2019,400,JOR,Jordan,H5,2709,Crude petroleum oil,8,kg,2304931000.0,8,kg,2304931000.0,2304931000.0,0.0,1101499746.808,0.0,1101499746.808,0
2019,404,KEN,Kenya,H5,2709,Crude petroleum oil,-1,kg,0.0,-1,kg,0.0,6832030.25,0.0,2288.64,0.0,2288.64,6
