refYear,reporterCode,reporterISO,reporterDesc,classificationCode,cmdCode,cmdDesc,qtyUnitCode,qtyUnitAbbr,qty,altQtyUnitCode,altQtyUnitAbbr,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag
2024,498,MDA,Rep. of Moldova,H6,2709,Crude petroleum oil,8,kg,1583990.0,8,kg,1583990.0,1583990.0,0.0,21881.578,628303.0,628303.0,0
2024,508,MOZ,Mozambique,H6,2709,Crude petroleum oil,8,kg,1262390.0,8,kg,1262390.0,1262390.0,0.0,21881.578,95515041.0,95515041.0,0
2024,516,NAM,Namibia,H6,2709,Crude petroleum oil,-1,,0.0,-1,kg,0.0,105219000.0,0.0,21881.578,21881.578,21881.578,0
2024,528,NLD,Netherlands,H6,2709,Crude petroleum oil,8,kg,28308945932.0,8,kg,28308945932.0,28308945932.0,0.0,21881.578,17039634176.931,17039634176.931,0
2024,554,NZL,New Zealand,H6,2709,Crude petroleum oil,8,kg,719483682.129,-1,kg,0.0,719483682.129,725303735.0,21881.578,423230611.237,423230611.237,6
2024,562,NER,Niger,H6,2709,Crude petroleum oil,8,kg,1453006415.0,8,kg,1453006415.0,1453006415.0,0.0,21881.578,748936604.204,748936604.204,0
2024,566,NGA,Nigeria,H6,2709,Crude petroleum oil,-1,,0.0,-1,kg,0.0,105219000.0,0.0,21881.578,37380669161.523,37380669161.523,0
2024,579,NOR,Norway,H6,2709,Crude petroleum oil,8,kg,84025184200.0,-1,kg,0.0,84025184200.0,0.0,21881.578,49293154558.329,49293154558.329,0
2024,586,PAK,Pakistan,H6,2709,Crude petroleum oil,8,kg,105219000.0,21,1000 KG,105219.0,105219000.0,0.0,21881.578,67590587.631,67590587.631,0
2024,604,PER,Peru,H6,2709,Crude petroleum oil,8,kg,972572371.0,12,m³,1035854.98,972572371.0,0.0,21881.578,317674708.75,317674708.75,0
2024,608,PHL,Philippines,H6,2709,Crude petroleum oil,8,kg,284114200.0,8,kg,284114200.0,284114200.0,284114200.0,21881.578,168274610.0,168274610.0,0
2024,616,POL,Poland,H6,2709,Crude petroleum oil,8,kg,182634768.607,-1,kg,0.0,182634768.607,0.0,21881.578,101266882.0,101266882.0,6
2024,634,QAT,Qatar,H6,2709,Crude petroleum oil,8,kg,25242378811.333,-1,kg,0.0,25242378811.333,0.0,21881.578,14965923895.883,14965923895.883,6
2024,642,ROU,Romania,H6,2709,Crude petroleum oil,8,kg,12431004.0,8,kg,12431004.0,12431004.0,0.0,21881.578,7529175.58,7529175.58,0
2024,682,SAU,Saudi Arabia,H6,2709,Crude petroleum oil,8,kg,300558000000.0,8,kg,300558000000.0,300558000000.0,0.0,21881.578,179494074921.181,179494074921.181,0
