,usd_proxy_share,DXY,FEDFUNDS
usd_proxy_share,1.0,-0.2255136320903686,0.6968500645315763
DXY,-0.2255136320903686,1.0,-0.4854608201994625
FEDFUNDS,0.6968500645315763,-0.4854608201994625,1.0
